date,price
2025-01-06,1801.941550986961
2025-01-07,1821.3144507976185
2025-01-08,1807.2733889200715
2025-01-09,1800.7201459881162
2025-01-10,1792.8779829254731
2025-01-11,1763.6076839628306
2025-01-12,1769.530089504122
2025-01-13,1774.75119494772
2025-01-14,1774.8534640805692
2025-01-15,1770.1617214130663
2025-01-16,1741.854306572058
2025-01-17,1733.4414001167509
2025-01-18,1726.5871097862155
2025-01-19,1710.541564401783
2025-01-20,1707.315850168463
2025-01-21,1715.3968673047536
2025-01-22,1753.1205853289641
2025-01-23,1756.612141585601
2025-01-24,1761.7631494000561
2025-01-25,1760.274231084733
2025-01-26,1721.898806778752
2025-01-27,1721.3685292697678
2025-01-28,1722.5731334685884
2025-01-29,1771.837975718294
2025-01-30,1767.9907564226714
2025-01-31,1774.0217032693438
2025-02-01,1773.3274678752389
2025-02-02,1749.9539071228482
2025-02-03,1772.8103634131487
2025-02-04,1787.849024066884
2025-02-05,1803.6696630077452
2025-02-06,1785.4819139118504
2025-02-07,1813.5378001305724
2025-02-08,1785.5007788747266
2025-02-09,1797.2379207507322
2025-02-10,1841.0470332669317
2025-02-11,1821.236306764318
2025-02-12,1809.9103521722625
2025-02-13,1811.9033794740153
2025-02-14,1801.8338663916913
2025-02-15,1770.8205977703687
2025-02-16,1772.1918572664893
2025-02-17,1750.945782991967
2025-02-18,1760.4176316046708
2025-02-19,1742.0291469199947
2025-02-20,1773.0278350203455
2025-02-21,1757.3627691736208
2025-02-22,1750.9215388495072
2025-02-23,1767.1918831969006
2025-02-24,1742.5745968682215
2025-02-25,1747.1237955603042
2025-02-26,1773.2666506459527
2025-02-27,1741.116985954728
2025-02-28,1744.8096631253743
2025-03-01,1750.0073190103426
2025-03-02,1765.6437764458888
2025-03-03,1740.9047622283272
2025-03-04,1714.4956299666417
2025-03-05,1724.9344612789796
2025-03-06,1730.8741547436434
2025-03-07,1735.8840117505608
2025-03-08,1742.8129759405003
2025-03-09,1729.2124815089305
2025-03-10,1733.8575554521506
2025-03-11,1739.7190049181243
2025-03-12,1725.431976557597
2025-03-13,1762.747466780492
2025-03-14,1772.2241251987277
2025-03-15,1748.3980552546748
2025-03-16,1761.5291274273513
2025-03-17,1742.035494022805
2025-03-18,1757.777186097654
2025-03-19,1780.9490976778022
2025-03-20,1764.535451310768
2025-03-21,1783.8029738956543
2025-03-22,1792.0585924343843
2025-03-23,1808.499795634274
2025-03-24,1846.435655287353
2025-03-25,1841.5278929672957
2025-03-26,1826.453169680146
2025-03-27,1808.6628810876355
2025-03-28,1792.3466753883267
2025-03-29,1790.8046412000444
2025-03-30,1797.6276806963774
2025-03-31,1803.1614966829777
2025-04-01,1819.7051616636982
2025-04-02,1819.9651995012564
2025-04-03,1849.0358810444027
2025-04-04,1843.7427443796437
2025-04-05,1898.146127711436
