date,price
2025-01-06,27149.01424590337
2025-01-07,27107.534955552015
2025-01-08,27301.841516982222
2025-01-09,27758.75047390463
2025-01-10,27688.504461487628
2025-01-11,27618.263374402875
2025-01-12,28092.027219055093
2025-01-13,28322.257637800965
2025-01-14,28181.41532202048
2025-01-15,28344.18333509627
2025-01-16,28205.15802725253
2025-01-17,28065.43910118145
2025-01-18,28138.02778265126
2025-01-19,27564.043709253925
2025-01-20,27046.568359500016
2025-01-21,26877.882100727722
2025-01-22,26574.032764627394
2025-01-23,26668.306964405976
2025-01-24,26395.899741749614
2025-01-25,25972.208631349025
2025-01-26,26411.90326202549
2025-01-27,26344.170371879532
2025-01-28,26364.42883328591
2025-01-29,25937.004377421872
2025-01-30,25773.68956006432
2025-01-31,25806.966336977275
2025-02-01,25461.668263750587
2025-02-02,25574.37766925429
2025-02-03,25394.186062278648
2025-02-04,25306.677937340664
2025-02-05,25126.165953671843
2025-02-06,25681.849409024526
2025-02-07,25677.800241603145
2025-02-08,25360.486962916373
2025-02-09,25607.250436547332
2025-02-10,25240.997341556023
2025-02-11,25303.65642005745
2025-02-12,24715.75538289352
2025-02-13,24317.29956822399
2025-02-14,24376.357938984725
2025-02-15,24597.89791298335
2025-02-16,24649.30839734034
2025-02-17,24614.61391262387
2025-02-18,24524.282803947084
2025-02-19,24080.726206836855
2025-02-20,23864.772944318443
2025-02-21,23726.581313030507
2025-02-22,24043.71798089618
2025-02-23,24146.803467766716
2025-02-24,23617.8914211579
2025-02-25,23715.116611976337
2025-02-26,23599.59192785144
2025-02-27,23396.515327759655
2025-02-28,23580.018214411914
2025-03-01,23889.3180711607
2025-03-02,24168.70210689556
2025-03-03,23916.936849928767
2025-03-04,23824.173137173402
2025-03-05,23923.552166594473
2025-03-06,24216.21570473118
2025-03-07,24072.463433377594
2025-03-08,24016.765740378447
2025-03-09,23684.86524817664
2025-03-10,23326.00326095244
2025-03-11,23569.7610076707
2025-03-12,23976.633016241947
2025-03-13,23955.029979767845
2025-03-14,24256.089849135453
2025-03-15,24364.58065664974
2025-03-16,24171.044730268208
2025-03-17,24279.46341192073
2025-03-18,24740.87438186052
2025-03-19,24730.126570127537
2025-03-20,25199.519666871736
2025-03-21,24413.596135644813
2025-03-22,24660.16688695738
2025-03-23,24686.28100742883
2025-03-24,24596.578802289074
2025-03-25,24624.107035249723
2025-03-26,24027.836360869456
2025-03-27,23961.9347945182
2025-03-28,24069.068565971727
2025-03-29,24512.43677939418
2025-03-30,24356.955713912088
2025-03-31,24114.40763304413
2025-04-01,23963.88051996877
2025-04-02,24238.50115527939
2025-04-03,24337.126488177295
2025-04-04,24178.198427047184
2025-04-05,24332.178656981192
